Geneid	GeneName	GeneType	ESC_Day0_rep1	ESC_Day0_rep2	PreNCC_Day3_rep1	PreNCC_Day3_rep2	NCC_Day5_rep1	NCC_Day5_rep2
ENSG00000223972.5	DDX11L1	transcribed_unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000227232.5	WASH7P	unprocessed_pseudogene	2	0	1	0	0	1
ENSG00000278267.1	MIR6859-1	miRNA	4	2	1	0	9	2
ENSG00000243485.5	MIR1302-2HG	lncRNA	0	0	1	0	2	0
ENSG00000284332.1	MIR1302-2	miRNA	0	0	0	0	0	0
ENSG00000237613.2	FAM138A	lncRNA	0	0	0	0	0	0
ENSG00000268020.3	OR4G4P	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000240361.2	OR4G11P	transcribed_unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000186092.7	OR4F5	protein_coding	0	0	0	0	0	0
ENSG00000238009.6	ENSG00000238009	lncRNA	1	2	1	3	0	1
ENSG00000239945.1	ENSG00000239945	lncRNA	0	0	0	0	0	0
ENSG00000233750.3	CICP27	processed_pseudogene	0	0	0	0	0	0
ENSG00000268903.1	ENSG00000268903	processed_pseudogene	46	41	25	16	29	24
ENSG00000269981.1	ENSG00000269981	processed_pseudogene	50	44	43	25	18	33
ENSG00000239906.1	ENSG00000239906	lncRNA	0	0	0	0	0	0
ENSG00000241860.7	ENSG00000241860	lncRNA	3	9	5	5	7	8
ENSG00000222623.1	RNU6-1100P	snRNA	0	0	0	0	0	0
ENSG00000241599.1	ENSG00000241599	lncRNA	0	0	0	0	0	0
ENSG00000279928.2	DDX11L17	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000279457.4	WASH9P	unprocessed_pseudogene	19	37	53	48	76	40
ENSG00000273874.1	MIR6859-2	miRNA	0	0	0	0	0	0
ENSG00000228463.10	ENSG00000228463	transcribed_processed_pseudogene	0	0	0	0	0	3
ENSG00000286448.1	ENSG00000286448	lncRNA	0	0	0	0	1	0
ENSG00000236679.2	RPL23AP24	processed_pseudogene	0	0	0	0	0	0
ENSG00000236601.2	ENSG00000236601	lncRNA	0	0	0	0	0	0
ENSG00000237094.12	ENSG00000237094	transcribed_unprocessed_pseudogene	41	61	86	62	46	71
ENSG00000269732.1	WBP1LP7	processed_pseudogene	0	0	0	0	0	0
ENSG00000284733.2	OR4F29	protein_coding	0	0	0	0	0	0
ENSG00000233653.3	CICP7	processed_pseudogene	0	0	0	0	0	0
ENSG00000250575.1	ENSG00000250575	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000278757.1	U6	snRNA	0	0	0	0	0	0
ENSG00000230021.10	ENSG00000230021	transcribed_processed_pseudogene	8	9	6	10	8	10
ENSG00000235146.2	ENSG00000235146	lncRNA	0	0	0	0	0	0
ENSG00000225972.1	MTND1P23	unprocessed_pseudogene	9	14	29	13	9	6
ENSG00000225630.1	MTND2P28	unprocessed_pseudogene	3246	2101	3956	3295	2388	2384
ENSG00000237973.1	MTCO1P12	unprocessed_pseudogene	118	320	406	220	355	194
ENSG00000278791.1	ENSG00000278791	miRNA	0	0	1	0	0	0
ENSG00000229344.1	MTCO2P12	unprocessed_pseudogene	11	16	23	27	19	20
ENSG00000240409.1	MTATP8P1	unprocessed_pseudogene	0	1	0	0	0	0
ENSG00000248527.1	MTATP6P1	unprocessed_pseudogene	13594	9039	19386	14306	10022	11111
ENSG00000198744.5	MTCO3P12	unprocessed_pseudogene	39	50	58	77	22	46
ENSG00000268663.1	WBP1LP6	processed_pseudogene	0	0	0	0	0	0
ENSG00000284662.2	OR4F16	protein_coding	0	0	0	0	0	0
ENSG00000229376.3	CICP3	processed_pseudogene	0	0	0	0	0	0
ENSG00000228327.5	ENSG00000228327	transcribed_unprocessed_pseudogene	41	28	96	71	62	79
ENSG00000223181.1	RNU6-1199P	snRNA	0	0	0	0	0	0
ENSG00000229905.1	ENSG00000229905	lncRNA	0	0	0	0	0	0
ENSG00000237491.10	LINC01409	lncRNA	24	54	76	61	116	78
ENSG00000285268.1	ENSG00000285268	transcribed_processed_pseudogene	0	0	0	0	0	0
ENSG00000230092.7	ENSG00000230092	transcribed_unprocessed_pseudogene	2	1	2	4	5	11
ENSG00000177757.2	FAM87B	lncRNA	0	1	1	0	0	0
ENSG00000225880.6	LINC00115	lncRNA	21	20	62	26	100	56
ENSG00000228794.12	LINC01128	lncRNA	314	375	632	578	591	472
ENSG00000288531.1	ENSG00000288531	lncRNA	0	1	1	2	0	1
ENSG00000230368.2	FAM41C	lncRNA	0	0	0	0	0	0
ENSG00000234711.1	TUBB8P11	unprocessed_pseudogene	1	0	0	0	0	0
ENSG00000283040.1	ENSG00000283040	transcribed_unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000272438.1	ENSG00000272438	lncRNA	12	7	26	29	30	29
ENSG00000230699.2	ENSG00000230699	lncRNA	42	30	145	159	160	165
ENSG00000241180.1	ENSG00000241180	lncRNA	0	1	8	1	4	3
ENSG00000223764.2	LINC02593	lncRNA	0	3	10	7	529	326
ENSG00000187634.13	SAMD11	protein_coding	26	25	68	29	3575	1782
ENSG00000188976.11	NOC2L	protein_coding	4741	4232	5358	4423	4220	2839
ENSG00000187961.15	KLHL17	protein_coding	813	839	1130	526	941	603
ENSG00000187583.11	PLEKHN1	protein_coding	34	32	18	4	11	24
ENSG00000187642.10	PERM1	protein_coding	0	0	1	2	0	3
ENSG00000272512.1	ENSG00000272512	lncRNA	3	4	5	21	82	57
ENSG00000188290.11	HES4	protein_coding	49	38	168	190	1390	723
ENSG00000187608.10	ISG15	protein_coding	701	640	779	573	1138	517
ENSG00000231702.2	ENSG00000231702	processed_pseudogene	0	0	0	0	0	0
ENSG00000224969.1	ENSG00000224969	lncRNA	2	1	3	0	4	1
ENSG00000188157.15	AGRN	protein_coding	8145	7775	10433	9150	9593	10280
ENSG00000242590.1	ENSG00000242590	lncRNA	0	0	0	0	0	0
ENSG00000217801.12	ENSG00000217801	transcribed_unprocessed_pseudogene	73	62	104	44	95	66
ENSG00000273443.1	ENSG00000273443	lncRNA	0	0	0	0	0	0
ENSG00000237330.3	RNF223	protein_coding	1	0	2	2	2	2
ENSG00000131591.18	C1orf159	protein_coding	462	482	863	672	844	559
ENSG00000285812.1	ENSG00000285812	lncRNA	0	0	0	0	0	0
ENSG00000223823.1	LINC01342	lncRNA	6	4	0	0	0	0
ENSG00000207730.3	MIR200B	miRNA	0	0	0	0	0	0
ENSG00000207607.3	MIR200A	miRNA	0	0	0	0	0	0
ENSG00000198976.1	MIR429	miRNA	2	2	0	0	0	0
ENSG00000272141.1	ENSG00000272141	lncRNA	63	35	2	0	3	0
ENSG00000205231.1	TTLL10-AS1	lncRNA	1	1	1	0	1	0
ENSG00000162571.14	TTLL10	protein_coding	41	23	42	16	10	7
ENSG00000186891.14	TNFRSF18	protein_coding	25	21	12	5	4	4
ENSG00000186827.12	TNFRSF4	protein_coding	3	0	3	1	1	3
ENSG00000078808.20	SDF4	protein_coding	2970	2652	3703	2565	4131	2523
ENSG00000176022.7	B3GALT6	protein_coding	924	587	1955	1646	2130	937
ENSG00000184163.3	C1QTNF12	protein_coding	59	48	153	44	144	112
ENSG00000260179.1	ENSG00000260179	lncRNA	3	5	8	6	6	9
ENSG00000160087.21	UBE2J2	protein_coding	2210	1991	3259	2394	2870	1762
ENSG00000230415.1	LINC01786	lncRNA	12	13	19	9	12	12
ENSG00000162572.21	SCNN1D	protein_coding	103	83	169	118	158	94
ENSG00000131584.19	ACAP3	protein_coding	918	853	1575	1191	1501	976
ENSG00000278073.1	MIR6726	miRNA	0	0	0	0	0	0
ENSG00000169972.12	PUSL1	protein_coding	1130	828	1060	745	847	471
ENSG00000127054.22	INTS11	protein_coding	3434	3188	3751	2281	3497	2160
ENSG00000283712.1	MIR6727	miRNA	0	0	0	0	0	0
ENSG00000240731.1	ENSG00000240731	lncRNA	30	34	43	41	46	50
ENSG00000224051.7	CPTP	protein_coding	449	315	637	422	593	381
ENSG00000169962.5	TAS1R3	protein_coding	5	5	9	4	4	4
ENSG00000107404.21	DVL1	protein_coding	2368	2570	3005	2531	3189	1884
ENSG00000284372.1	MIR6808	miRNA	0	0	0	0	0	0
ENSG00000162576.17	MXRA8	protein_coding	504	484	1311	619	3037	1797
ENSG00000175756.14	AURKAIP1	protein_coding	3924	3206	3846	2628	3725	1638
ENSG00000223663.2	NDUFB4P8	processed_pseudogene	0	3	2	0	1	0
ENSG00000221978.13	CCNL2	protein_coding	4237	4981	11194	5402	9183	5723
ENSG00000224870.9	MRPL20-AS1	lncRNA	763	656	1094	642	1268	655
ENSG00000242485.6	MRPL20	protein_coding	3355	3227	3645	2632	3295	1513
ENSG00000264293.2	RN7SL657P	misc_RNA	0	0	0	0	0	0
ENSG00000272455.1	MRPL20-DT	lncRNA	122	138	278	168	494	327
ENSG00000235098.9	ANKRD65	protein_coding	111	115	620	280	246	141
ENSG00000225905.1	ANKRD65-AS1	lncRNA	8	9	8	14	8	4
ENSG00000205116.4	TMEM88B	protein_coding	195	245	400	254	218	171
ENSG00000225285.1	LINC01770	lncRNA	67	40	5	4	9	12
ENSG00000179403.12	VWA1	protein_coding	1445	1379	749	703	687	596
ENSG00000215915.10	ATAD3C	protein_coding	71	140	51	41	30	38
ENSG00000160072.20	ATAD3B	protein_coding	1407	1349	1809	1210	979	712
ENSG00000284740.2	ENSG00000284740	transcribed_unprocessed_pseudogene	4	2	7	5	0	6
ENSG00000197785.14	ATAD3A	protein_coding	1855	1675	1802	1454	1606	961
ENSG00000205090.9	TMEM240	protein_coding	120	137	272	168	392	173
ENSG00000160075.12	SSU72	protein_coding	5409	4723	7604	5424	6721	3514
ENSG00000215014.5	ENSG00000215014	lncRNA	34	28	48	39	46	30
ENSG00000274481.1	ENSG00000274481	processed_pseudogene	0	0	0	0	0	0
ENSG00000228594.4	FNDC10	protein_coding	523	433	526	408	282	181
ENSG00000286989.1	ENSG00000286989	lncRNA	21	30	29	17	20	5
ENSG00000272106.1	ENSG00000272106	lncRNA	166	171	466	376	740	470
ENSG00000197530.13	MIB2	protein_coding	1262	1139	1535	1019	1397	925
ENSG00000189409.14	MMP23B	protein_coding	15	6	8	2	10	1
ENSG00000248333.9	CDK11B	protein_coding	1390	1333	1643	1179	1686	905
ENSG00000272004.1	ENSG00000272004	lncRNA	3	0	6	6	4	1
ENSG00000189339.12	SLC35E2B	protein_coding	2020	1810	3023	3311	3620	2828
ENSG00000269737.2	ENSG00000269737	transcribed_processed_pseudogene	0	1	0	1	1	0
ENSG00000215914.4	MMP23A	unprocessed_pseudogene	0	0	1	0	1	0
ENSG00000008128.23	CDK11A	protein_coding	82	74	135	76	108	60
ENSG00000268575.1	ENSG00000268575	lncRNA	87	106	112	166	246	285
ENSG00000227775.3	ENSG00000227775	transcribed_processed_pseudogene	0	0	1	3	3	1
ENSG00000215790.8	SLC35E2A	transcribed_unprocessed_pseudogene	204	191	271	427	577	592
ENSG00000008130.15	NADK	protein_coding	3019	2871	2632	2225	3058	1987
ENSG00000078369.18	GNB1	protein_coding	16320	15668	19595	19669	27463	17990
ENSG00000231050.3	GNB1-DT	lncRNA	5	9	8	8	9	2
ENSG00000169885.10	CALML6	protein_coding	30	7	26	9	4	9
ENSG00000178821.13	TMEM52	protein_coding	364	316	521	346	236	124
ENSG00000142609.20	CFAP74	protein_coding	12	6	26	17	29	14
ENSG00000233542.2	ENSG00000233542	lncRNA	2	2	9	5	3	3
ENSG00000187730.9	GABRD	protein_coding	39	34	64	40	15	8
ENSG00000226969.1	PRKCZ-DT	lncRNA	1	1	3	0	1	1
ENSG00000067606.17	PRKCZ	protein_coding	1705	1644	1699	1323	1317	887
ENSG00000271806.1	ENSG00000271806	lncRNA	0	0	2	0	0	0
ENSG00000182873.5	PRKCZ-AS1	lncRNA	37	43	110	81	120	68
ENSG00000162585.17	FAAP20	protein_coding	2136	2046	3582	2288	3637	1767
ENSG00000234396.3	ENSG00000234396	lncRNA	0	1	1	0	1	0
ENSG00000157933.10	SKI	protein_coding	3915	3552	5734	5330	4123	4189
ENSG00000287356.1	ENSG00000287356	lncRNA	88	76	116	92	120	70
ENSG00000116151.14	MORN1	protein_coding	193	163	401	349	536	347
ENSG00000272161.1	ENSG00000272161	lncRNA	2	2	3	2	4	3
ENSG00000269896.2	ENSG00000269896	transcribed_processed_pseudogene	48	51	150	83	131	66
ENSG00000272420.1	ENSG00000272420	lncRNA	11	16	27	21	16	17
ENSG00000157916.20	RER1	protein_coding	2690	2733	4050	3004	4527	2590
ENSG00000157911.11	PEX10	protein_coding	1181	997	1272	925	1325	757
ENSG00000149527.18	PLCH2	protein_coding	14	2	146	39	74	33
ENSG00000224387.1	ENSG00000224387	lncRNA	0	0	1	1	2	0
ENSG00000229393.1	ENSG00000229393	lncRNA	1	0	5	1	0	1
ENSG00000157881.16	PANK4	protein_coding	829	1038	1571	1229	1820	995
ENSG00000197921.6	HES5	protein_coding	10	4	44	25	43	27
ENSG00000272449.3	ENSG00000272449	lncRNA	47	27	76	26	90	39
ENSG00000238164.6	TNFRSF14-AS1	lncRNA	0	0	1	0	0	0
ENSG00000157873.18	TNFRSF14	protein_coding	6	8	68	20	16	13
ENSG00000225931.3	ENSG00000225931	TEC	0	0	0	0	0	0
ENSG00000228037.1	ENSG00000228037	lncRNA	0	0	0	0	0	0
ENSG00000289610.2	ENSG00000289610	lncRNA	0	0	0	0	0	1
ENSG00000157870.17	PRXL2B	protein_coding	1798	1813	2958	1928	1786	996
ENSG00000142606.16	MMEL1	protein_coding	19	14	24	9	5	7
ENSG00000237058.1	MMEL1-AS1	lncRNA	4	1	7	3	9	3
ENSG00000215912.13	TTC34	protein_coding	18	10	42	12	71	26
ENSG00000285945.1	ENSG00000285945	lncRNA	0	0	0	0	0	0
ENSG00000283259.1	ENSG00000283259	lncRNA	0	0	0	0	0	0
ENSG00000233234.1	ENSG00000233234	lncRNA	0	0	0	0	0	0
ENSG00000287396.1	ENSG00000287396	lncRNA	0	0	0	0	0	0
ENSG00000231630.1	ENSG00000231630	lncRNA	0	0	0	0	0	0
ENSG00000284745.1	ENSG00000284745	lncRNA	0	0	0	0	0	0
ENSG00000169717.7	ACTRT2	protein_coding	0	0	0	1	1	0
ENSG00000177133.14	PRDM16-DT	lncRNA	3	0	7	0	31	29
ENSG00000142611.17	PRDM16	protein_coding	58	39	25	17	195	234
ENSG00000283572.1	MIR4251	miRNA	0	0	0	0	0	0
ENSG00000226286.1	ENSG00000226286	lncRNA	0	0	0	0	0	0
ENSG00000279839.1	ENSG00000279839	TEC	0	0	0	0	0	0
ENSG00000272235.1	ENSG00000272235	lncRNA	0	0	1	0	2	1
ENSG00000287828.1	ENSG00000287828	lncRNA	1	0	1	1	0	2
ENSG00000286518.1	ENSG00000286518	lncRNA	0	0	0	0	0	0
ENSG00000130762.15	ARHGEF16	protein_coding	1013	1083	407	253	120	136
ENSG00000272088.1	ENSG00000272088	lncRNA	2	5	2	1	1	1
ENSG00000162591.17	MEGF6	protein_coding	831	826	1606	827	735	595
ENSG00000207776.1	MIR551A	miRNA	0	0	0	0	0	0
ENSG00000238260.3	ENSG00000238260	lncRNA	14	11	39	12	26	14
ENSG00000158109.15	TPRG1L	protein_coding	1245	1257	1758	1332	1203	763
ENSG00000116213.16	WRAP73	protein_coding	1265	1175	1227	833	1267	638
ENSG00000078900.15	TP73	protein_coding	275	192	68	92	23	22
ENSG00000227589.1	TP73-AS3	lncRNA	1	1	0	0	0	0
ENSG00000235131.1	TP73-AS2	lncRNA	0	0	0	0	0	0
ENSG00000227372.12	TP73-AS1	transcribed_unitary_pseudogene	2275	2080	2458	1965	2586	1825
ENSG00000276189.1	ENSG00000276189	misc_RNA	0	0	0	0	0	0
ENSG00000162592.10	CCDC27	protein_coding	12	3	2	2	0	0
ENSG00000235169.11	SMIM1	protein_coding	59	38	25	24	57	31
ENSG00000130764.10	LRRC47	protein_coding	3573	2866	2747	2403	2982	2041
ENSG00000266075.2	RN7SL574P	misc_RNA	1	0	2	0	0	0
ENSG00000272153.1	ENSG00000272153	lncRNA	3	2	0	0	2	1
ENSG00000116198.14	CEP104	protein_coding	953	961	931	826	1308	971
ENSG00000169598.17	DFFB	protein_coding	289	299	303	371	271	152
ENSG00000198912.12	C1orf174	protein_coding	1282	1251	1723	1240	1817	1100
ENSG00000236423.8	LINC01134	lncRNA	30	27	51	29	48	21
ENSG00000233304.7	LINC01346	lncRNA	1	0	1	0	1	0
ENSG00000226374.3	LINC01345	lncRNA	1	0	0	0	3	0
ENSG00000284668.2	LINC02780	lncRNA	0	1	0	0	0	0
ENSG00000284703.1	ENSG00000284703	lncRNA	0	0	0	0	0	0
ENSG00000229280.1	EEF1DP6	processed_pseudogene	0	0	0	0	0	0
ENSG00000235054.4	LINC01777	lncRNA	0	0	0	0	0	1
ENSG00000284694.1	ENSG00000284694	lncRNA	0	0	0	0	0	0
ENSG00000227169.2	ENSG00000227169	lncRNA	0	0	0	0	0	0
ENSG00000232596.3	LINC01646	lncRNA	0	0	0	0	0	0
ENSG00000196581.11	AJAP1	protein_coding	227	173	392	208	243	230
ENSG00000287586.1	ENSG00000287586	lncRNA	0	0	1	0	0	0
ENSG00000284739.1	ENSG00000284739	lncRNA	0	0	0	0	0	0
ENSG00000284674.1	LINC02781	lncRNA	0	0	0	0	0	0
ENSG00000231510.1	LINC02782	lncRNA	1	6	0	0	0	0
ENSG00000284616.1	ENSG00000284616	lncRNA	0	0	0	0	0	1
ENSG00000284692.2	ENSG00000284692	lncRNA	0	0	1	0	0	0
ENSG00000284666.1	ENSG00000284666	lncRNA	0	0	0	0	0	0
ENSG00000260972.1	ENSG00000260972	lncRNA	0	0	0	0	0	0
ENSG00000283356.1	ENSG00000283356	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000236948.2	ENSG00000236948	lncRNA	1	0	0	0	0	0
ENSG00000264341.1	ENSG00000264341	miRNA	0	0	0	0	0	0
ENSG00000289893.1	ENSG00000289893	lncRNA	1	0	1	0	1	1
ENSG00000264101.1	MIR4689	miRNA	0	0	0	0	0	0
ENSG00000131697.18	NPHP4	protein_coding	623	782	1669	1167	1474	930
ENSG00000069424.16	KCNAB2	protein_coding	568	346	583	367	446	385
ENSG00000116254.18	CHD5	protein_coding	63	75	621	211	72	81
ENSG00000285629.1	ENSG00000285629	protein_coding	0	0	1	0	0	1
ENSG00000116251.11	RPL22	protein_coding	5930	7661	13317	9277	12806	6076
ENSG00000226944.1	RNF207-AS1	lncRNA	5	3	16	9	5	2
ENSG00000158286.13	RNF207	protein_coding	134	93	217	55	42	29
ENSG00000116237.16	ICMT	protein_coding	6782	7020	11928	12762	6977	4727
ENSG00000225077.3	ICMT-DT	lncRNA	168	114	167	133	32	7
ENSG00000173673.8	HES3	protein_coding	865	942	5119	2355	62	13
ENSG00000158292.7	GPR153	protein_coding	540	453	2796	2709	1971	963
ENSG00000097021.20	ACOT7	protein_coding	4781	3961	5078	4095	4978	2325
ENSG00000271746.1	ENSG00000271746	lncRNA	10	7	7	4	8	3
ENSG00000069812.11	HES2	protein_coding	24	11	96	10	8	14
ENSG00000187017.18	ESPN	protein_coding	629	434	232	163	145	90
ENSG00000265392.1	MIR4252	miRNA	0	0	0	0	0	0
ENSG00000231868.1	ENSG00000231868	lncRNA	0	0	0	1	0	0
ENSG00000215788.11	TNFRSF25	protein_coding	279	225	710	246	240	183
ENSG00000171680.23	PLEKHG5	protein_coding	938	821	1520	891	896	657
ENSG00000162408.11	NOL9	protein_coding	1574	1321	1768	2802	1663	1801
ENSG00000253022.1	RNU6-731P	snRNA	0	0	0	0	0	0
ENSG00000229519.2	ENSG00000229519	processed_pseudogene	0	0	0	0	0	0
ENSG00000173662.21	TAS1R1	protein_coding	2	1	1	0	1	2
ENSG00000204859.13	ZBTB48	protein_coding	579	544	924	631	954	581
ENSG00000162413.17	KLHL21	protein_coding	1201	1041	1275	1319	926	713
ENSG00000116273.6	PHF13	protein_coding	2216	2169	3987	3051	3450	2491
ENSG00000041988.16	THAP3	protein_coding	460	448	861	721	1201	642
ENSG00000007923.17	DNAJC11	protein_coding	4421	4266	5370	4376	3647	2751
ENSG00000228750.7	LINC01672	lncRNA	0	0	0	1	0	0
ENSG00000284744.1	ENSG00000284744	lncRNA	0	0	0	0	0	0
ENSG00000237436.1	CAMTA1-DT	lncRNA	51	37	41	30	86	36
ENSG00000171735.20	CAMTA1	protein_coding	2962	2890	4342	3451	5497	3130
ENSG00000227950.1	ENSG00000227950	processed_pseudogene	0	0	0	0	0	0
ENSG00000237365.1	ENSG00000237365	lncRNA	0	0	0	0	0	0
ENSG00000207056.1	RNU1-8P	snRNA	0	0	0	0	0	0
ENSG00000237402.1	CAMTA1-IT1	lncRNA	4	4	5	6	5	8
ENSG00000237728.2	CAMTA1-AS2	lncRNA	0	0	0	0	1	0
ENSG00000225126.1	CAMTA1-AS1	lncRNA	1	0	0	0	0	0
ENSG00000270171.1	ENSG00000270171	lncRNA	6	3	11	5	18	16
ENSG00000270035.1	ENSG00000270035	lncRNA	5	2	11	7	12	5
ENSG00000269978.1	ENSG00000269978	lncRNA	7	4	11	9	26	15
ENSG00000049245.13	VAMP3	protein_coding	2228	2229	2804	2493	4343	2544
ENSG00000269925.1	ENSG00000269925	lncRNA	4	7	17	16	17	11
ENSG00000049246.15	PER3	protein_coding	857	761	1134	1036	1108	1107
ENSG00000236266.1	ENSG00000236266	lncRNA	0	0	0	0	0	0
ENSG00000049247.14	UTS2	protein_coding	2	1	0	0	3	1
ENSG00000049249.10	TNFRSF9	protein_coding	1	0	9	2	15	33
ENSG00000270330.1	ENSG00000270330	processed_pseudogene	0	0	0	0	0	0
ENSG00000116288.13	PARK7	protein_coding	7809	8400	11432	7478	12117	4901
ENSG00000200344.1	Y_RNA	misc_RNA	0	0	0	0	0	0
ENSG00000284747.1	ENSG00000284747	lncRNA	16	25	32	33	28	13
ENSG00000284716.1	ENSG00000284716	lncRNA	0	0	0	0	0	0
ENSG00000116285.13	ERRFI1	protein_coding	2451	2910	1621	932	2591	2115
ENSG00000238290.1	ERRFI1-DT	lncRNA	1	2	0	0	6	2
ENSG00000232848.1	RPL7AP18	processed_pseudogene	0	2	1	0	0	0
ENSG00000229305.1	ENSG00000229305	processed_pseudogene	0	0	0	0	0	0
ENSG00000288816.1	ENSG00000288816	lncRNA	2	4	0	0	0	0
ENSG00000227634.3	LINC01714	lncRNA	0	1	0	0	0	0
ENSG00000200975.1	RNU1-7P	snRNA	0	0	0	0	0	0
ENSG00000233645.1	ENSG00000233645	lncRNA	0	0	0	0	0	0
ENSG00000251977.1	RNU6-991P	snRNA	0	0	0	0	0	0
ENSG00000162426.16	SLC45A1	protein_coding	77	63	48	42	58	28
ENSG00000252254.1	Y_RNA	misc_RNA	0	0	0	0	0	0
ENSG00000142599.19	RERE	protein_coding	5310	4921	6276	6937	5274	5728
ENSG00000232912.6	RERE-AS1	lncRNA	0	0	1	0	2	2
ENSG00000221083.1	ENSG00000221083	snoRNA	0	1	0	0	1	1
ENSG00000270282.1	ENSG00000270282	processed_pseudogene	0	0	0	0	0	0
ENSG00000234619.1	RPL7P11	processed_pseudogene	6	3	0	1	1	0
ENSG00000224315.2	RPL7P7	processed_pseudogene	0	2	0	0	2	2
ENSG00000222511.2	Y_RNA	misc_RNA	1	0	0	0	0	3
ENSG00000226545.1	ENSG00000226545	unprocessed_pseudogene	0	0	0	0	0	0
ENSG00000228423.2	ENSG00000228423	lncRNA	1	2	0	2	0	2
ENSG00000229716.2	RPL23AP19	processed_pseudogene	0	0	0	0	0	0
ENSG00000074800.16	ENO1	protein_coding	100701	105569	102236	103792	138469	71758
ENSG00000274258.1	MIR6728	miRNA	1	0	4	0	0	1
ENSG00000230679.1	ENO1-AS1	lncRNA	2	3	4	1	7	3
ENSG00000201725.1	RNU6-304P	snRNA	0	0	0	0	0	0
ENSG00000238249.2	HMGN2P17	processed_pseudogene	1	1	2	0	0	2
ENSG00000232208.2	ENSG00000232208	processed_pseudogene	0	0	0	0	0	0
ENSG00000232663.2	ENSG00000232663	processed_pseudogene	0	0	0	0	0	0
ENSG00000131686.15	CA6	protein_coding	0	0	0	0	0	0
ENSG00000290109.1	ENSG00000290109	lncRNA	1	1	0	0	0	0
ENSG00000265141.2	RN7SL451P	misc_RNA	0	0	0	0	0	0
ENSG00000197241.4	SLC2A7	protein_coding	2	0	0	2	2	1
ENSG00000142583.18	SLC2A5	protein_coding	5	8	7	1	0	1
ENSG00000252404.1	ENSG00000252404	scaRNA	0	0	0	0	0	0
ENSG00000180758.12	GPR157	protein_coding	98	100	114	127	181	208
ENSG00000228526.8	MIR34AHG	lncRNA	555	625	1743	721	1492	1239
ENSG00000284357.1	MIR34A	miRNA	0	0	0	0	0	0
ENSG00000289914.1	ENSG00000289914	lncRNA	2	0	3	3	2	5
ENSG00000234546.5	LNCTAM34A	lncRNA	111	75	96	64	166	130
ENSG00000049239.13	H6PD	protein_coding	704	412	470	879	1591	1626
ENSG00000171621.14	SPSB1	protein_coding	237	220	464	262	695	593
ENSG00000284652.1	ENSG00000284652	lncRNA	2	4	1	8	6	7
ENSG00000284693.2	LINC02606	lncRNA	3	1	5	13	26	16
ENSG00000252956.1	RNA5SP40	rRNA_pseudogene	0	0	0	0	0	0
ENSG00000235263.1	ENSG00000235263	lncRNA	0	0	0	0	0	0
ENSG00000171612.7	SLC25A33	protein_coding	665	646	1074	904	1065	713
ENSG00000231181.1	ENSG00000231181	processed_pseudogene	4	4	19	12	14	13
ENSG00000188807.13	TMEM201	protein_coding	973	904	1660	1271	856	994
ENSG00000171608.18	PIK3CD	protein_coding	1771	1604	481	297	227	287
ENSG00000179840.5	PIK3CD-AS1	lncRNA	0	0	0	0	0	2
ENSG00000233268.3	ENSG00000233268	processed_pseudogene	0	0	0	0	0	0
ENSG00000231789.4	PIK3CD-AS2	lncRNA	361	242	184	82	109	56
ENSG00000171603.18	CLSTN1	protein_coding	7561	6417	12016	9516	11733	10685
ENSG00000271264.1	MZT1P1	processed_pseudogene	0	0	0	0	0	1
ENSG00000280113.2	ENSG00000280113	TEC	0	0	2	0	2	1
ENSG00000178585.15	CTNNBIP1	protein_coding	2857	2296	4372	3429	7593	4968
ENSG00000223989.1	ENSG00000223989	lncRNA	0	0	0	0	0	0
ENSG00000285701.1	ENSG00000285701	lncRNA	0	0	0	0	0	0
ENSG00000162441.12	LZIC	protein_coding	1067	1116	1818	2042	2739	1877
ENSG00000228150.1	ENSG00000228150	lncRNA	1	2	7	2	11	6
ENSG00000173614.14	NMNAT1	protein_coding	148	160	285	261	467	358
ENSG00000202415.1	RN7SKP269	misc_RNA	0	1	7	4	6	2
ENSG00000283611.2	TMEM274P	unitary_pseudogene	0	0	0	0	0	0
ENSG00000265521.1	MIR5697	miRNA	0	0	1	0	0	0
ENSG00000241326.1	ENSG00000241326	lncRNA	0	0	0	0	0	0
ENSG00000162444.12	RBP7	protein_coding	98	74	130	44	23	7
ENSG00000130939.20	UBE4B	protein_coding	6485	6123	7869	6892	5744	4875
ENSG00000224340.1	ENSG00000224340	processed_pseudogene	0	0	0	0	1	0
ENSG00000233623.2	PGAM1P11	processed_pseudogene	2	0	0	3	2	0
ENSG00000201746.1	RNU6-828P	snRNA	0	0	1	2	2	3
ENSG00000054523.20	KIF1B	protein_coding	7178	7186	7557	15027	8689	7626
ENSG00000264881.1	ENSG00000264881	miRNA	0	0	0	0	0	0
ENSG00000199562.1	RNU6-37P	snRNA	0	0	1	0	2	1
ENSG00000264501.2	RN7SL731P	misc_RNA	0	0	0	0	0	0
ENSG00000284735.1	ENSG00000284735	lncRNA	0	0	1	0	1	0
ENSG00000284642.1	ENSG00000284642	lncRNA	16	17	15	34	20	45
